n,room,time
41,classroom,24.52
41,classroom,24.6
41,classroom,28.44
41,classroom,27.76
41,classroom,22.88
41,classroom,25.24
41,classroom,24.64
41,classroom,25.04
43,classroom,26.88
43,classroom,24.72
43,classroom,28.44
43,classroom,29.16
43,classroom,24.48
43,classroom,25.36
43,classroom,29.92
43,classroom,31.2
45,classroom,25.48
45,classroom,26.36
45,classroom,31.68
45,classroom,31.12
45,classroom,26.04
45,classroom,25.76
45,classroom,29.6
45,classroom,31.08
47,classroom,28.76
47,classroom,28.08
47,classroom,31.16
47,classroom,32.48
47,classroom,27.44
47,classroom,27.28
47,classroom,34.36
47,classroom,34.32
49,classroom,29.24
49,classroom,29.0
49,classroom,33.12
49,classroom,33.96
49,classroom,26.88
49,classroom,27.64
49,classroom,33.64
49,classroom,33.44
51,classroom,28.64
51,classroom,29.2
51,classroom,33.92
51,classroom,35.6
51,classroom,29.68
51,classroom,29.28
51,classroom,31.6
51,classroom,32.32
53,classroom,30.28
53,classroom,31.24
53,classroom,36.72
53,classroom,36.84
53,classroom,32.56
53,classroom,31.12
53,classroom,38.24
53,classroom,38.6
55,classroom,30.8
55,classroom,29.44
55,classroom,38.04
55,classroom,36.76
55,classroom,30.64
55,classroom,30.4
55,classroom,36.72
55,classroom,36.76
57,classroom,31.08
57,classroom,31.56
57,classroom,38.84
57,classroom,37.88
57,classroom,32.2
57,classroom,32.88
57,classroom,38.2
57,classroom,39.32
59,classroom,32.48
59,classroom,34.76
59,classroom,38.64
59,classroom,39.96
59,classroom,33.32
59,classroom,31.4
59,classroom,39.6
59,classroom,37.44
61,classroom,35.72
61,classroom,35.12
61,classroom,39.2
61,classroom,40.32
61,classroom,33.2
61,classroom,34.12
61,classroom,38.44
61,classroom,40.92
63,classroom,34.68
63,classroom,34.72
63,classroom,41.04
63,classroom,43.8
63,classroom,34.56
63,classroom,35.16
63,classroom,41.84
63,classroom,42.6
65,classroom,35.08
65,classroom,36.96
65,classroom,41.72
65,classroom,41.8
65,classroom,36.0
65,classroom,36.72
65,classroom,44.52
65,classroom,43.8
67,classroom,36.36
67,classroom,37.88
67,classroom,44.32
67,classroom,43.24
67,classroom,38.08
67,classroom,38.28
67,classroom,45.4
67,classroom,43.92
69,classroom,38.2
69,classroom,37.44
69,classroom,44.24
69,classroom,47.76
69,classroom,36.72
69,classroom,39.44
69,classroom,44.44
69,classroom,46.28
71,classroom,38.8
71,classroom,39.44
71,classroom,46.24
71,classroom,48.92
71,classroom,39.08
71,classroom,37.96
71,classroom,44.88
71,classroom,47.08
73,classroom,39.08
73,classroom,40.24
73,classroom,48.44
73,classroom,47.04
73,classroom,48.4
73,classroom,47.96
73,classroom,48.0
73,classroom,47.24
75,classroom,39.8
75,classroom,40.76
75,classroom,50.72
75,classroom,49.24
75,classroom,49.92
75,classroom,48.76
75,classroom,47.72
75,classroom,49.48
77,classroom,42.72
77,classroom,41.72
77,classroom,51.2
77,classroom,51.4
77,classroom,49.0
77,classroom,49.92
77,classroom,50.36
77,classroom,50.36
79,classroom,43.64
79,classroom,44.36
79,classroom,53.28
79,classroom,50.08
79,classroom,51.4
79,classroom,52.2
79,classroom,50.32
79,classroom,51.4
81,classroom,44.88
81,classroom,45.0
81,classroom,53.44
81,classroom,52.88
81,classroom,52.52
81,classroom,52.48
81,classroom,53.28
81,classroom,52.84
83,classroom,47.2
83,classroom,45.16
83,classroom,54.12
83,classroom,53.6
83,classroom,53.76
83,classroom,53.84
83,classroom,55.76
83,classroom,53.68
85,classroom,45.6
85,classroom,44.68
85,classroom,55.68
85,classroom,54.0
85,classroom,56.4
85,classroom,55.0
85,classroom,54.48
85,classroom,56.04
87,classroom,47.76
87,classroom,47.28
87,classroom,56.28
87,classroom,57.96
87,classroom,56.08
87,classroom,56.0
87,classroom,56.52
